<<<<<<< HEAD
Series,Issue,Full Title,Variant Description,Publisher,Release Date,Format,Added Date,Creators


0.0, Tom Maszerowski, Software Engineering, Swen 262, 1, 1, 1/16/2025, null, null
0.0, Tom Maszerowski, Software Engineering, Swen 262, 1, 1, 1/16/2025, null, null
0.0, Tom Maszerowski, Software Engineering, Swen 262, 1, 1, 1/16/2025, null, null
0.0, Tom Maszerowski, Software Engineering, Swen 262, 1, 1, 1/16/2025, null, null, null
0.0, Tom Maszerowski, Software Engineering, Swen 262, 1, 1, 1/16/2025, null, null, null
0.0, Tom Maszerowski, Software Engineering, Swen 262, 1, 1, 1/16/2025, null, null, null
0.0, Tom Maszerowski, Software Engineering, Swen 262, 1, 1, 1/16/2025, null, null, null
=======
Series,Issue,Full Title,Variant Description,Publisher,Release Date,Format,Added Date,Creators,Principle Characters,Value,Grade,Slabbed,Signed,Authenticated
Batman,1,The Court of Owls Begins,,DC Comics,Sep 2011,Comic,"Jan 1 2022",Bob Kane | Greg Capullo,Batman | Nightwing,0,-1,,,
Batman,2,Trust Fall,,DC Comics,Oct 2011,Comic,"Jan 2 2022",Bob Kane | Greg Capullo,Batman | Alfred,0,-1,,,
Batman,3,Knife Trick,,DC Comics,Nov 2011,Comic,"Jan 3 2022",Bob Kane | Greg Capullo,Batman | James Gordon,0,-1,,,
Batman,4,Face the Court,,DC Comics,Dec 2011,Comic,"Jan 4 2022",Bob Kane | Greg Capullo,Batman | Talon,0,-1,,,
Batman,5,Gloves Come Off,,DC Comics,Jan 2012,Comic,"Jan 5 2022",Bob Kane | Greg Capullo,Batman | Nightwing,0,-1,,,
Batman,6,Return to the Labyrinth,,DC Comics,Feb 2012,Comic,"Jan 6 2022",Bob Kane | Greg Capullo,Batman | Talon,0,-1,,,
Batman,7,The Fall of the House of Wayne,,DC Comics,Mar 2012,Comic,"Jan 7 2022",Bob Kane | Greg Capullo,Batman | Lincoln March,0,-1,,,
Batman,8,Attack on Wayne Manor,,DC Comics,Apr 2012,Comic,"Jan 8 2022",Bob Kane | Greg Capullo,Batman | Alfred,0,-1,,,
Batman,9,Night of the Owls,,DC Comics,May 2012,Comic,"Jan 9 2022",Bob Kane | Greg Capullo,Batman | Talon,0,-1,,,
Batman,10,The Fall of the House of Wayne Part 2,,DC Comics,Jun 2012,Comic,"Jan 10 2022",Bob Kane | Greg Capullo,Batman | Lincoln March,0,-1,,,
Batman,11,The Final Lesson,,DC Comics,Jul 2012,Comic,"Jan 11 2022",Bob Kane | Greg Capullo,Batman | Alfred,0,-1,,,
Batman,12,Ghost in the Machine,,DC Comics,Aug 2012,Comic,"Jan 12 2022",Bob Kane | Greg Capullo,Batman | Harper Row,0,-1,,,
Batman,13,Death of the Family Begins,,DC Comics,Sep 2012,Comic,"Jan 13 2022",Bob Kane | Greg Capullo,Batman | Joker,0,-1,,,
Batman,14,Cut Off,,DC Comics,Oct 2012,Comic,"Jan 14 2022",Bob Kane | Greg Capullo,Batman | Joker,0,-1,,,
Batman,15,Crowded House,,DC Comics,Nov 2012,Comic,"Jan 15 2022",Bob Kane | Greg Capullo,Batman | Batgirl,0,-1,,,
Batman,16,Throne of Bones,,DC Comics,Jan 2013,Comic,"Jan 16 2022",Bob Kane | Greg Capullo,Batman | Joker,0,-1,,,
Batman,18,Burning the Days,,DC Comics,Mar 2013,Comic,"Jan 18 2022",Bob Kane | Greg Capullo,Batman | Harper Row,0,-1,,,
Spider-Man,1,Torment Part One,,Marvel,Aug 1990,Comic,"Feb 1 2022",Todd McFarlane,Spider-Man | Lizard,0,-1,,,
Spider-Man,50,What If…?,,Marvel,Jun 1994,Comic,"Feb 2 2022",Todd McFarlane,Spider-Man | Mary Jane,0,-1,,,
Amazing Spider-Man,20,Scorpion Strikes,,Marvel,Jan 2000,Comic,"Feb 10 2022",Stan Lee | Steve Ditko,Spider-Man | Scorpion,0,-1,,,
Amazing Spider-Man,21,Where Flies the Beetle!,,Marvel,Feb 2000,Comic,"Feb 11 2022",Stan Lee | Steve Ditko,Spider-Man | Beetle,0,-1,,,
Amazing Spider-Man,22,Pursued by the Nightcrawler,,Marvel,Mar 2000,Comic,"Feb 12 2022",Stan Lee | Steve Ditko,Spider-Man | Nightcrawler,0,-1,,,
Amazing Spider-Man,23,The Goblin and the Gangsters,,Marvel,Apr 2000,Comic,"Feb 13 2022",Stan Lee | Steve Ditko,Spider-Man | Green Goblin,0,-1,,,
Amazing Spider-Man,24,Spider-Man Goes Mad!,,Marvel,May 2000,Comic,"Feb 14 2022",Stan Lee | Steve Ditko,Spider-Man | Dr. Ludwig Rinehart,0,-1,,,
Amazing Spider-Man,25,Captured by J. Jonah Jameson!,,Marvel,Jun 2000,Comic,"Feb 15 2022",Stan Lee | Steve Ditko,Spider-Man | J. Jonah Jameson,0,-1,,,
Amazing Spider-Man,26,The Man in the Crime-Master’s Mask,,Marvel,Jul 2000,Comic,"Feb 16 2022",Stan Lee | Steve Ditko,Spider-Man | Crime-Master,0,-1,,,
Amazing Spider-Man,28,The Menace of the Molten Man,,Marvel,Sep 2000,Comic,"Feb 18 2022",Stan Lee | Steve Ditko,Spider-Man | Molten Man,0,-1,,,
Amazing Spider-Man,29,Never Step on a Scorpion!,,Marvel,Oct 2000,Comic,"Feb 19 2022",Stan Lee | Steve Ditko,Spider-Man | Scorpion,0,-1,,,
Amazing Spider-Man,30,The Claws of the Cat!,,Marvel,Nov 2000,Comic,"Feb 20 2022",Stan Lee | Steve Ditko,Spider-Man | Cat Burglar,0,-1,,,
Amazing Spider-Man,32,Man on a Rampage!,,Marvel,Jan 2001,Comic,"Feb 22 2022",Stan Lee | Steve Ditko,Spider-Man | Aunt May,0,-1,,,
Amazing Spider-Man,33,The Final Chapter,,Marvel,Feb 2001,Comic,"Feb 23 2022",Stan Lee | Steve Ditko,Spider-Man | Aunt May,0,-1,,,
Amazing Spider-Man,34,The Thrill of the Hunt!,,Marvel,Mar 2001,Comic,"Feb 24 2022",Stan Lee | Steve Ditko,Spider-Man | Kraven,0,-1,,,
>>>>>>> 9f8b5bf9197bdbf76e13a24dbfba775560638eb7
